csvcategory,item_name,item_name_gu,description,price,is_favorite,food_type
Soul Sip Special,Loaded Crispy Long-Stick Fries,,Extra-crunchy potato sticks piled high with melted cheese creamy mayo & spicy chilli sauces.,279,True,veg
Hot Beverages / Coffee,Black Coffee,,Bold espresso pure & unsweetened,39,False,veg
Hot Beverages / Coffee,Regular Coffee,,Classic milk coffee smooth & comforting,49,False,veg
Hot Beverages / Coffee,Filter Coffee,,South-Indian brew frothy & aromatic,59,False,veg
Hot Beverages / Coffee,Hot Chocolate,,Velvety dark cocoa served piping hot,99,False,veg
Cold Beverages,Fresh Lime Soda,,Sweet salted or mixed — your choice,49,False,veg
Cold Beverages,Cold Coffee (Classic) - Small,,Chilled frothy coffee over ice,49,False,veg
Cold Beverages,Cold Coffee (Classic) - Large,,Chilled frothy coffee over ice,69,False,veg
Cold Beverages,Cold Coffee w/ Ice Cream,,Vanilla scoop & chocolate drizzle,79,False,veg
Cold Beverages,Lemon Iced Tea,,Black tea fresh lemon served chilled,79,False,veg
Mocktails,Jaljeera Fizz,,Spiced jaljeera soda & crunchy boondi,89,False,veg
Mocktails,Virgin Mojito,,Muddled mint lime & soda,99,False,veg
Mocktails,Blue Lagoon,,Blue curaçao flavour tangy lemonade,109,False,veg
Mocktails,Watermelon Mint Cooler,,Watermelon lime & crushed ice,109,False,veg
Mocktails,Green Apple Fizz,,Crisp green apple citrus splash,109,False,veg
Mocktails,Strawberry Basil Smash,,Strawberry & torn basil topped with soda,119,False,veg
Mocktails,Blueberry Basil Lemonade,,Blueberry-basil twist on classic lemonade,119,False,veg
Mocktails,Passion Fruit Mojito,,Passion fruit mint lime & soda,129,True,veg
Regular Shakes,Vanilla Shake,,Classic vanilla bean & chilled milk,89,False,veg
Regular Shakes,Strawberry Shake,,Ripe strawberry smooth & creamy,99,False,veg
Regular Shakes,Mango Shake (Seasonal),,Silky mango blended with cool milk,99,False,veg
Regular Shakes,Butterscotch Shake,,Creamy butterscotch-caramel crunch,109,False,veg
Regular Shakes,Kesar Pista Shake,,Saffron & crushed pistachio chilled milk,119,False,veg
Thick / Loaded Shakes,Oreo Thick Shake,,Crushed Oreo & creamy ice cream,139,False,veg
Thick / Loaded Shakes,KitKat Thick Shake,,Loaded with crispy wafer chunks,149,False,veg
Thick / Loaded Shakes,Belgian Chocolate Thick Shake,,Rich dark Belgian chocolate fix,159,False,veg
Thick / Loaded Shakes,Ferrero Rocher Thick Shake,,Golden Ferrero Rocher & roasted hazelnut,169,False,veg
Thick / Loaded Shakes,Nutella Brownie Thick Shake,,Fudgy brownie meets creamy Nutella,179,False,veg
Thick / Loaded Shakes,Lotus Biscoff Thick Shake,,Crushed Biscoff & spiced cookie butter,179,True,veg
Fries,Salted Normal Fries,,Golden fries classic sea salt,79,False,veg
Fries,Peri Peri Fries,,Bold spicy peri peri seasoning,99,False,veg
Fries,Salted Cheese Fries,,Smothered in warm melted cheese,119,False,veg
Fries,Peri Peri Cheese Fries,,Peri peri spice meets melted cheese,129,False,veg
Fries,Nachos French Fries,,Nacho chips cheese & jalapeños,149,False,veg
Fries,Special Loaded Long Fries,,Extra-long fries cheese sauces & jalapeños,279,True,veg
Garlic Bread & Toast,Salted Masala Toast,,Garlic butter & Indian spice blend,99,False,veg
Garlic Bread & Toast,Normal Cheese Garlic Bread,,Garlic butter baked under melted cheese,109,False,veg
Garlic Bread & Toast,Roasted Onion Pepper Toast,,Caramelized onion & roasted bell pepper,109,False,veg
Garlic Bread & Toast,Grilled Chilli Toast,,Garlic toast spicy green chillies & cheese,109,False,veg
